method,received_at,east_m,north_m,error_to_rtk_m
FlexTDOA,1785765507.863645,0.425016,3.419193,0.051912
FlexTDOA,1785765507.864060,0.318450,3.293715,0.149804
FlexTDOA,1785765508.020258,0.293178,3.209672,0.237321
FlexTDOA,1785765508.072802,0.491983,3.522671,0.147829
FlexTDOA,1785765508.132871,0.443293,3.444228,0.069452
FlexTDOA,1785765508.196747,0.270265,3.328998,0.147135
FlexTDOA,1785765508.259246,0.333263,3.404556,0.050095
FlexTDOA,1785765508.317127,0.227798,3.505269,0.164061
FlexTDOA,1785765508.317174,0.406654,3.399384,0.045924
FlexTDOA,1785765508.317225,0.350498,3.374758,0.062664
FlexTDOA,1785765508.515550,0.365141,3.213589,0.219128
FlexTDOA,1785765508.862263,0.305091,3.314599,0.136988
FlexTDOA,1785765508.904777,0.300041,3.373937,0.094997
FlexTDOA,1785765508.955434,0.319624,3.216488,0.222958
FlexTDOA,1785765509.004869,0.272028,3.312647,0.157909
FlexTDOA,1785765509.122363,0.305711,3.323523,0.129054
FlexTDOA,1785765509.162862,0.375403,3.276230,0.156272
FlexTDOA,1785765509.265002,0.375795,3.435792,0.003427
FlexTDOA,1785765509.365860,0.263102,3.310887,0.165152
FlexTDOA,1785765509.415457,0.485577,3.373114,0.125657
FlexTDOA,1785765509.484640,0.280386,3.316251,0.149785
FlexTDOA,1785765509.613008,0.249864,3.476041,0.132342
FlexTDOA,1785765509.756853,0.424244,3.460601,0.056838
FlexTDOA,1785765509.807595,0.306698,3.263849,0.181898
FlexTDOA,1785765509.810710,0.506707,3.017091,0.435838
FlexTDOA,1785765509.853906,0.292952,3.400605,0.087879
FlexTDOA,1785765509.864530,0.256898,3.243007,0.223199
FlexTDOA,1785765510.151422,0.386914,3.441362,0.014977
FlexTDOA,1785765510.255510,0.378038,3.330939,0.101613
FlexTDOA,1785765510.300878,0.451835,3.513744,0.111932
FlexTDOA,1785765510.447225,0.366927,3.482706,0.050824
FlexTDOA,1785765510.472946,0.273568,3.285642,0.178391
FlexTDOA,1785765510.472984,0.348620,3.398740,0.042746
FlexTDOA,1785765510.514996,0.372373,3.364874,0.067673
FlexTDOA,1785765510.636286,0.339724,3.296413,0.140545
FlexTDOA,1785765510.636621,0.446099,3.395290,0.080391
FlexTDOA,1785765510.925441,0.301895,3.299076,0.152063
FlexTDOA,1785765510.975377,0.326123,3.376306,0.074372
FlexTDOA,1785765511.019687,0.459788,3.625336,0.210717
FlexTDOA,1785765511.019738,0.477688,3.274012,0.188936
FlexTDOA,1785765511.372437,0.351498,3.394425,0.044661
FlexTDOA,1785765511.411561,0.231892,3.394900,0.147810
