block,slot_id,initiator_id,received_at,x_m,y_m,truth_x_m,truth_y_m,error_m
flex_3,39070,4,1785086158.8324313,1.4187199841875306,1.4658589554821368,1.5,1.5,0.08815924166669074
flex_3,39071,5,1785086158.8325176,1.6091364732575477,1.4823791846000265,1.5,1.5,0.1105498210331223
flex_3,39074,4,1785086158.8326359,1.5180803339491085,1.5165902614932336,1.5,1.5,0.024538444370521006
flex_3,39075,5,1785086158.8326678,1.5363687427418438,1.569047077888711,1.5,1.5,0.07803963360749538
flex_3,39076,2,1785086158.832701,1.6047149912359204,1.4164302038845402,1.5,1.5,0.13397440133218885
flex_3,39077,3,1785086158.8389328,1.5281904794237213,1.5067513311496958,1.5,1.5,0.028987645686259323
flex_3,39079,5,1785086158.8396678,1.6544075557536568,1.3847961023264312,1.5,1.5,0.19264898471832326
flex_3,39083,5,1785086158.870692,1.5800906440753428,1.486713001325836,1.5,1.5,0.08118531641972261
flex_3,39086,4,1785086158.8709757,1.4979536851909858,1.4408726633056141,1.5,1.5,0.05916273615096634
flex_3,39087,5,1785086158.871031,1.5480017426140487,1.539617433898093,1.5,1.5,0.06223912244444924
flex_3,39088,2,1785086158.8710895,1.542917721187006,1.5165482611278964,1.5,1.5,0.0459975623076118
flex_3,39089,3,1785086158.8967347,1.6042292750792282,1.4906604469106859,1.5,1.5,0.10464687781032712
flex_3,39091,5,1785086158.8968203,1.6162631497466184,1.4681116206637101,1.5,1.5,0.12055699368224036
flex_3,39094,4,1785086158.896951,1.5201792226724173,1.5007181607249047,1.5,1.5,0.020191997981621277
flex_3,39095,5,1785086158.8969834,1.5904676315331467,1.531824139872505,1.5,1.5,0.09590186772864212
flex_3,39099,5,1785086158.905275,1.5536747634266328,1.5090133048432053,1.5,1.5,0.05442627943467701
flex_3,39106,4,1785086158.940525,1.5981928961669472,1.6112647278764856,1.5,1.5,0.1483970502640846
flex_3,39107,5,1785086158.9406354,1.4581040545034545,1.506907947172307,1.5,1.5,0.042461629539914
flex_3,39108,2,1785086158.940682,1.5408467094099405,1.5184664259019622,1.5,1.5,0.04482702929274685
flex_3,39113,3,1785086158.9430268,1.6038054047541381,1.5090137401480488,1.5,1.5,0.10419601512354966
flex_3,39119,5,1785086158.9593463,1.4823840222509088,1.5212361200899867,1.5,1.5,0.02759158329151864
flex_3,39123,5,1785086158.9938073,1.450436248005684,1.7268423179933658,1.5,1.5,0.2321938904113486
flex_3,39124,2,1785086158.9938388,1.5265159548053056,1.4533690128356413,1.5,1.5,0.053642751823145575
flex_3,39126,4,1785086158.994161,1.4779058144905646,1.526291498035678,1.5,1.5,0.034342333966773594
flex_3,39127,5,1785086158.9941964,1.53232179529377,1.5124154993239924,1.5,1.5,0.034624313343031496
flex_3,39128,2,1785086158.9942634,1.5382913477102962,1.5221228749018787,1.5,1.5,0.04422271931253187
flex_3,39129,3,1785086158.994283,1.6264848060051373,1.5090480826237842,1.5,1.5,0.12680802005127298
flex_3,39130,4,1785086158.994312,1.465474014882431,1.4967613516669604,1.5,1.5,0.03467755025032327
flex_3,39136,2,1785086159.034808,1.5435597096339222,1.5462039967922738,1.5,1.5,0.06350006002337372
flex_3,39140,2,1785086159.0349553,1.6210246334605851,1.4290607826919457,1.5,1.5,0.1402830512091476
flex_3,39141,3,1785086159.0350068,1.4991185154800197,1.419639605528814,1.5,1.5,0.0803652288898848
flex_3,39142,4,1785086159.0350459,1.844447083449109,1.634549008047531,1.5,1.5,0.36979349489028596
flex_3,39143,5,1785086159.0350816,1.5686942752256283,1.5075673852430262,1.5,1.5,0.06910983119781688
flex_3,39147,5,1785086159.0691621,1.4913750937568906,1.508641464148309,1.5,1.5,0.01220917320415014
flex_3,39148,2,1785086159.069224,1.5238375559478572,1.5124671851047933,1.5,1.5,0.026900925225805918
flex_3,39150,4,1785086159.0693388,1.610024177787192,1.4986760697687254,1.5,1.5,0.11003214298106219
flex_3,39152,2,1785086159.06948,1.4229822276856343,1.5918538151396062,1.5,1.5,0.11987018231390334
flex_3,39153,3,1785086159.0695188,1.6056134936379771,1.5094581733950938,1.5,1.5,0.10603615931554053
flex_3,39156,2,1785086159.0709333,1.584592588447244,1.4931298339836485,1.5,1.5,0.08487110934409328
flex_3,39160,2,1785086159.1017308,1.5761569410184508,1.5095964366913364,1.5,1.5,0.07675917705693974
flex_3,39162,4,1785086159.101807,1.4079768350665063,1.6576051034258983,1.5,1.5,0.18250378492038208
flex_3,39163,5,1785086159.1018393,1.516988729409979,1.569233323478635,1.5,1.5,0.0712872359322678
flex_3,39167,5,1785086159.1078134,1.5540858068447316,1.5209032095134296,1.5,1.5,0.05798464167353243
