role,capture_id,protocol,kind,first_id,second_id,link,time,measured_m,rtk_horizontal_m,rtk_vertical_m,rtk_slant_m,height_correction_m,error_m,first_rtk_age_ms,second_rtk_age_ms
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379452.5927327,4.755,4.656358265883613,-0.0199972482058694,4.656401205888347,4.294000473414883e-05,0.09859879411165284,283.8897705078125,741.7123317718506
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379452.7115722,4.816,4.659603349837261,-0.019998658790330304,4.659646265991447,4.291615418594574e-05,0.1563537340085528,402.7292728424072,391.53194427490234
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379452.6784875,4.787,4.892719875119195,-0.04999795316884886,4.8929753291537725,0.00025545403457716276,-0.10597532915377261,369.6446418762207,208.04357528686523
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379452.7107637,5.208,5.163335097483672,-0.049999068825281046,5.163577174381159,0.00024207689748756422,0.04442282561884081,401.9207954406738,426.6397953033447
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379452.8028245,4.797,4.659603349837261,-0.019998658790330304,4.659646265991447,4.291615418594574e-05,0.13735373400855266,493.98159980773926,482.7842712402344
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379452.8102582,4.786,4.892719875119195,-0.04999795316884886,4.8929753291537725,0.00025545403457716276,-0.10697532915377295,501.4152526855469,76.27296447753906
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379452.8410604,5.219,5.163335097483672,-0.049999068825281046,5.163577174381159,0.00024207689748756422,0.05542282561884093,532.2175025939941,296.3430881500244
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379452.901104,4.776,4.661692088984448,-0.019998658385261436,4.661734985907864,4.289692341608031e-05,0.11426501409213596,592.2610759735107,436.9311332702637
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379452.9014318,4.786,4.892719875119195,-0.04999795316884886,4.8929753291537725,0.00025545403457716276,-0.10697532915377295,592.5889015197754,14.900684356689453
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379452.910967,5.201,5.163335097483672,-0.049999068825281046,5.163577174381159,0.00024207689748756422,0.03742282561884025,602.1242141723633,226.43637657165527
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379453.0420072,4.776,4.661818705698713,-0.019998657889052918,4.661861601454915,4.289575620219921e-05,0.11413839854508456,593.5797691345215,296.02789878845215
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379453.042262,4.788,4.892284877179053,-0.049997952672640344,4.892540353921091,0.00025547674203796333,-0.10454035392109073,593.3248996734619,155.7309627532959
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379453.043865,5.234,5.161771626152402,-0.04999906832907253,5.162013776365362,0.0002421502129603681,0.0719862236346378,591.7220115661621,93.53852272033691
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379453.015462,4.741,4.652553237102764,2.746166569533859e-06,4.652553237103574,8.100187187665142e-13,0.08844676289642539,620.1250553131104,660.1250171661377
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379453.113312,4.722,4.661818705698713,-0.019998657889052918,4.661861601454915,4.289575620219921e-05,0.06013839854508518,522.2749710083008,224.72310066223145
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379453.143417,4.784,4.892284877179053,-0.049997952672640344,4.892540353921091,0.00025547674203796333,-0.10854035392109118,492.1700954437256,256.8857669830322
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379453.143417,5.18,5.161771626152402,-0.04999906832907253,5.162013776365362,0.0002421502129603681,0.017986223634637533,492.1700954437256,6.013393402099609
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379453.1126475,4.765,4.652553237102764,2.746166569533859e-06,4.652553237103574,8.100187187665142e-13,0.11244676289642541,522.9394435882568,562.9394054412842
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379453.2938206,4.767,4.661818705698713,-0.019998657889052918,4.661861601454915,4.289575620219921e-05,0.10513839854508511,341.766357421875,44.214487075805664
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379453.2627409,4.794,4.892284877179053,-0.049997952672640344,4.892540353921091,0.00025547674203796333,-0.0985403539210914,372.8461265563965,376.2097358703613
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379453.2930703,5.15,5.161771626152402,-0.04999906832907253,5.162013776365362,0.0002421502129603681,-0.012013776365361828,342.5166606903076,155.66682815551758
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379453.293328,4.761,4.652553237102764,2.746166569533859e-06,4.652553237103574,8.100187187665142e-13,0.10844676289642585,342.2589302062988,382.2588920593262
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379453.3830576,4.709,4.661818705698713,-0.019998657889052918,4.661861601454915,4.289575620219921e-05,0.04713839854508439,252.52938270568848,45.02248764038086
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379453.344785,4.801,4.892284877179053,-0.049997952672640344,4.892540353921091,0.00025547674203796333,-0.09154035392109083,290.802001953125,458.2538604736328
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379453.3822923,5.206,5.161771626152402,-0.04999906832907253,5.162013776365362,0.0002421502129603681,0.04398622363463822,253.2947063446045,244.8887825012207
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379453.3825388,4.731,4.652553237102764,2.746166569533859e-06,4.652553237103574,8.100187187665142e-13,0.0784467628964256,253.04818153381348,293.0481433868408
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379453.4697971,4.807,4.661818705698713,-0.019998657889052918,4.661861601454915,4.289575620219921e-05,0.14513839854508515,165.78984260559082,131.76202774047852
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379453.4393158,4.772,4.892284877179053,-0.049997952672640344,4.892540353921091,0.00025547674203796333,-0.12054035392109075,196.27118110656738,552.7846813201904
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379453.442486,5.2,5.161771626152402,-0.04999906832907253,5.162013776365362,0.0002421502129603681,0.037986223634637994,193.1009292602539,305.0825595855713
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379453.469286,4.733,4.652553237102764,2.746166569533859e-06,4.652553237103574,8.100187187665142e-13,0.08044676289642538,166.30101203918457,206.3009738922119
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379453.590235,4.731,4.661818705698713,-0.019998657889052918,4.661861601454915,4.289575620219921e-05,0.06913839854508463,45.35198211669922,252.19988822937012
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379453.5905087,4.76,4.892284877179053,-0.049997952672640344,4.892540353921091,0.00025547674203796333,-0.1325403539210912,45.078277587890625,703.9775848388672
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379453.5907457,5.228,5.161771626152402,-0.04999906832907253,5.162013776365362,0.0002421502129603681,0.06598622363463758,44.84128952026367,453.3421993255615
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379453.5403433,4.747,4.652553237102764,2.746166569533859e-06,4.652553237103574,8.100187187665142e-13,0.09444676289642562,95.24369239807129,135.24365425109863
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379453.682229,4.731,4.661818705698713,-0.019998657889052918,4.661861601454915,4.289575620219921e-05,0.06913839854508463,46.64206504821777,344.1939353942871
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379453.6951478,4.792,4.893554999328756,-0.049997951242729044,4.89381040975066,0.0002554104219045783,-0.10181040975066047,59.56077575683594,633.4748268127441
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379453.7023392,5.248,5.161771626152402,-0.04999906832907253,5.162013776365362,0.0002421502129603681,0.08598622363463804,66.75219535827637,564.9356842041016
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379453.7134445,4.739,4.652553237102764,2.746166569533859e-06,4.652553237103574,8.100187187665142e-13,0.08644676289642561,77.85749435424805,37.8575325012207
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379453.8571231,4.79,4.661818705698713,-0.019998657889052918,4.661861601454915,4.289575620219921e-05,0.1281383985450848,221.53615951538086,519.0880298614502
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379453.820613,4.761,4.893554999328756,-0.049997951242729044,4.89381040975066,0.0002554104219045783,-0.13281040975066016,185.0259304046631,508.009672164917
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379453.8228486,5.165,5.161771626152402,-0.04999906832907253,5.162013776365362,0.0002421502129603681,0.0029862236346378523,187.26158142089844,685.4450702667236
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379453.8564987,4.728,4.652553237102764,2.746166569533859e-06,4.652553237103574,8.100187187665142e-13,0.07544676289642549,220.91174125671387,180.91177940368652
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379453.9646113,4.784,4.661818705698713,-0.019998657889052918,4.661861601454915,4.289575620219921e-05,0.12213839854508457,329.0243148803711,626.5761852264404
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379453.964865,4.765,4.893554999328756,-0.049997951242729044,4.89381040975066,0.0002554104219045783,-0.1288104097506606,329.27799224853516,363.7576103210449
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379453.9758444,5.176,5.154499677346189,-0.029999071542083172,5.154586973565909,8.729621971959034e-05,0.021413026434091265,340.2574062347412,616.307258605957
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379453.9405768,4.738,4.652553237102764,2.746166569533859e-06,4.652553237103574,8.100187187665142e-13,0.08544676289642616,304.9898147583008,264.98985290527344
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379454.0422513,4.801,4.661818705698713,-0.019998657889052918,4.661861601454915,4.289575620219921e-05,0.13913839854508492,406.6643714904785,704.2162418365479
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379454.0508702,4.815,4.893554999328756,-0.049997951242729044,4.89381040975066,0.0002554104219045783,-0.0788104097506599,415.283203125,277.7523994445801
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379454.0796602,5.177,5.154499677346189,-0.029999071542083172,5.154586973565909,8.729621971959034e-05,0.02241302643409071,444.0732002258301,512.4914646148682
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379454.0796602,4.735,4.652553237102764,2.746166569533859e-06,4.652553237103574,8.100187187665142e-13,0.08244676289642605,444.0732002258301,404.07323837280273
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379454.1912658,4.772,4.893554999328756,-0.049997951242729044,4.89381040975066,0.0002554104219045783,-0.12181040975066004,555.6788444519043,137.35675811767578
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379454.151871,5.215,5.154499677346189,-0.029999071542083172,5.154586973565909,8.729621971959034e-05,0.060413026434090966,516.2839889526367,440.2806758880615
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379454.1588721,4.723,4.652553237102764,2.746166569533859e-06,4.652553237103574,8.100187187665142e-13,0.0704467628964256,523.2851505279541,483.28518867492676
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379454.2908733,4.792,4.893554999328756,-0.049997951242729044,4.89381040975066,0.0002554104219045783,-0.10181040975066047,655.2863121032715,37.749290466308594
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379454.2908733,5.192,5.154499677346189,-0.029999071542083172,5.154586973565909,8.729621971959034e-05,0.03741302643409128,655.2863121032715,301.27835273742676
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379454.291318,4.784,4.653976203525153,2.7474934041760157e-06,4.653976203525964,8.109068971862143e-13,0.1300237964740356,655.7309627532959,607.379674911499
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379454.359463,4.772,4.893554999328756,-0.049997951242729044,4.89381040975066,0.0002554104219045783,-0.12181040975066004,723.8759994506836,30.840396881103516
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379454.6062553,4.794,4.659539942763801,-0.019998656999410003,4.659582859494298,4.2916730497388755e-05,0.1344171405057013,669.276237487793,709.7060680389404
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379454.6071556,4.764,4.895693747667423,-0.04999795029517379,4.895949046506061,0.00025529883863839586,-0.13194904650606087,668.3759689331055,278.5329818725586
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379454.6150897,5.165,5.154056488607776,-0.029999070594527916,5.15414379232831,8.730372053378233e-05,0.010856207671690044,660.4418754577637,22.938013076782227
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379454.5873816,4.75,4.65454712671439,2.7484409594324966e-06,4.654547126715202,8.117950756059145e-13,0.09545287328479812,688.1499290466309,311.31601333618164
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379454.727207,4.766,4.659539942763801,-0.019998656999410003,4.659582859494298,4.2916730497388755e-05,0.10641714050570172,548.3245849609375,588.754415512085
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379454.7276473,4.795,4.895693747667423,-0.04999795029517379,4.895949046506061,0.00025529883863839586,-0.10094904650606118,547.8842258453369,399.02472496032715
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379454.7276473,5.246,5.154056488607776,-0.029999070594527916,5.15414379232831,8.730372053378233e-05,0.09185620767169045,547.8842258453369,135.49566268920898
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379454.6973822,4.766,4.65454712671439,2.7484409594324966e-06,4.654547126715202,8.117950756059145e-13,0.11145287328479814,578.1493186950684,201.31540298461914
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379454.8332498,4.788,4.659539942763801,-0.019998656999410003,4.659582859494298,4.2916730497388755e-05,0.12841714050570197,442.28172302246094,482.7115535736084
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379454.8002553,4.832,4.895693747667423,-0.04999795029517379,4.895949046506061,0.00025529883863839586,-0.06394904650606126,475.27623176574707,471.632719039917
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379454.8214676,5.234,5.154056488607776,-0.029999070594527916,5.15414379232831,8.730372053378233e-05,0.07985620767169,454.06389236450195,229.31599617004395
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379454.8217225,4.741,4.65454712671439,2.7484409594324966e-06,4.654547126715202,8.117950756059145e-13,0.08645287328479778,453.8090229034424,76.97510719299316
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379454.928728,4.781,4.659539942763801,-0.019998656999410003,4.659582859494298,4.2916730497388755e-05,0.1214171405057014,346.8034267425537,387.2332572937012
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379454.9289954,4.797,4.895693747667423,-0.04999795029517379,4.895949046506061,0.00025529883863839586,-0.0989490465060614,346.53615951538086,600.3727912902832
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379454.9008894,5.231,5.154056488607776,-0.029999070594527916,5.15414379232831,8.730372053378233e-05,0.07685620767168988,374.64213371276855,308.73775482177734
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379454.9008894,4.745,4.65454712671439,2.7484409594324966e-06,4.654547126715202,8.117950756059145e-13,0.09045287328479823,374.64213371276855,2.191781997680664
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379455.0146697,4.712,4.659539942763801,-0.019998656999410003,4.659582859494298,4.2916730497388755e-05,0.052417140505701454,260.861873626709,301.29170417785645
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379455.0234852,4.832,4.895693747667423,-0.04999795029517379,4.895949046506061,0.00025529883863839586,-0.06394904650606126,252.0463466644287,694.8626041412354
