role,capture_id,protocol,motion,gps_time,uwb_time,delta_ms,uwb_east_m,uwb_north_m,rtk_east_m,rtk_north_m,error_east_m,error_north_m,error_m,gps_fix_age_ms,gps_speed_mps,position_sigma_m,position_rms_m,geometry_version,alignment_version,alignment_exact_version,alignment_age_s,debiased_error_m
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447854.8497226,1786447854.8494053,-0.3173351287841797,0.11118720204505039,0.0787755996487407,0.2457984122081947,0.0046670489628237305,-0.1346112101631443,0.07410855068591697,0.1536627970146103,nan,0.0,0.218,0.218,2147504731,2147504591,False,1.1480393409729004,0.12121955860045999
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447854.9811733,1786447855.001309,20.13564109802246,0.19321484273023914,0.06090198323735052,0.24906828083826493,0.0032224884808846332,-0.05585343810802579,0.05767949475646589,0.08029028997237612,nan,0.0,0.316,0.316,2147504751,2147504591,False,1.299942970275879,0.045391150120106645
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447855.1036112,1786447855.1031604,-0.4508495330810547,0.08704391729591454,0.17173850516229638,0.25002531512356113,0.006889452942725666,-0.1629813978276466,0.16484905221957072,0.23181489610364636,nan,0.0,0.149,0.149,2147504764,2147504591,False,1.40179443359375,0.17515936565303702
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447855.2228978,1786447855.2617772,38.87939453125,0.2718510343652232,0.0762942102470241,0.24922778641746793,0.006889452454903022,0.02262324794775525,0.06940475779212107,0.0729988476065794,nan,0.0,0.407,0.407,2147504783,2147504959,False,1.4103240966796875,0.03627350656015395
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447855.3814538,1786447855.3121693,-69.28443908691406,0.13974521339297596,0.18816937310835158,0.2508228441026444,0.007445053535372573,-0.11107763070966842,0.18072431957297902,0.212130902343788,nan,0.0,0.299,0.299,2147504791,2147504959,False,1.3599319458007812,0.1448849172624546
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447855.4818068,1786447855.4821026,0.29587745666503906,0.1027272681480973,0.20713438641831683,0.25106210288928493,0.008556255324870726,-0.14833483474118764,0.1985781310934461,0.24786386857761522,nan,0.0,0.171,0.171,2147504811,2147504959,False,1.1899986267089844,0.18384290798622963
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447855.6407964,1786447855.6434455,2.649068832397461,0.13485676772416766,0.07016469905285927,0.2524179022256393,0.00600049242319084,-0.11756113450147165,0.06416420662966843,0.1339315711760595,nan,0.0,0.193,0.193,2147504832,2147504959,False,1.028655767440796,0.1046065524391133
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447855.7247784,1786447855.7412355,16.457080841064453,0.10581234891538527,0.11713726270505997,0.25385345432867423,0.007222813628113417,-0.14804110541328896,0.10991444907694656,0.18438371676446164,nan,0.0,0.123,0.123,2147504843,2147504959,False,0.9308657646179199,0.13942778248329657
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447855.8433745,1786447855.8350108,-8.363723754882812,0.1077291566273555,0.2051391140957861,0.251221608692225,0.007222814275033462,-0.1434924520648695,0.19791629982075265,0.2444605193775202,nan,0.0,0.302,0.302,2147504851,2147504959,False,0.8370904922485352,0.17986091506363716
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447855.9831414,1786447856.0043914,21.250009536743164,0.11181423694779413,0.11514293573928303,0.2508228441550045,0.007445053442382957,-0.13900860720721037,0.10769788229690007,0.17584716866906172,nan,0.0,0.154,0.154,2147504877,2147504959,False,0.6677098274230957,0.13012968486631374
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447856.1005394,1786447856.0817475,-18.791913986206055,0.16171778821642158,0.21719015799829045,0.2500253156270772,0.005000411186085824,-0.08830752741065562,0.21218974681220462,0.22983191260051594,nan,0.0,0.261,0.261,2147504887,2147504959,False,0.5903537273406982,0.15743329016070218
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447856.2219067,1786447856.1796837,-42.22297668457031,0.29476972340685514,0.1623159150232789,0.2502645742642087,0.00600049221478878,0.04450514914264647,0.15631542280849015,0.16252759675823134,nan,0.0,0.375,0.375,2147504899,2147504959,False,0.492417573928833,0.10086407448648876
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447856.3454757,1786447856.3076313,-37.84441947937012,0.4438386678692592,0.0894568057996219,0.2500253154195966,0.004889290215976838,0.19381335244966258,0.08456751558364506,0.21145987865258783,nan,0.0,0.38,0.38,2147504907,2147504959,False,0.3644700050354004,0.20748918847518805
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447856.4833589,1786447856.422902,-60.45675277709961,0.24285766482114335,0.06926679802911373,0.250583585358913,0.006556093067824467,-0.007725920537769659,0.06271070496128926,0.06318482701486015,nan,0.0,0.281,0.281,2147504927,2147504959,False,0.24919915199279785,0.012384898494082282
validation,flextdoa_dynamic_final_01,flextdoa,dynamic,1786447856.5937548,1786447856.5807078,-13.046979904174805,0.14284258379806292,0.08517225520414229,0.25122160898396206,0.007111692948036791,-0.10837902518589915,0.0780605622561055,0.1335644581465634,nan,0.0,0.182,0.182,2147504947,2147504959,False,0.09139347076416016,0.09508573141580498
